twitter.com 104.244.42.129
video.twimg.com 23.1.106.236
abs-0.twimg.com 104.244.43.131
pbs.twimg.com 93.184.220.70
api.twitter.com 104.244.42.194
abs.twimg.com 152.199.21.141
push.services.mozilla.com 44.242.93.71
charak.shop 194.5.175.39
incoming.telemetry.mozilla.org 52.35.31.120
www.googletagmanager.com 216.58.206.168
www.googleoptimize.com 216.58.212.14
fonts.googleapis.com 142.250.184.138
safebrowsing.googleapis.com 172.217.17.234
www.google.com 172.217.17.164
trustseal.enamad.ir 212.16.67.4
cdn.iwmf.ir 104.18.63.231
cdn.inspectlet.com TP/1.1 200 OK
Date: Fri, 18 Dec 2020 19:22:46 GMT
Server: Apache
Content-Length: 16
Content-Type: text/html; charset=UTF-8
Connection: keep-alive


www.google-analytics.com TP/1.1 200 OK
Date: Fri, 18 Dec 2020 19:22:46 GMT
Server: Apache
Content-Length: 16
Content-Type: text/html; charset=UTF-8
Connection: keep-alive


static.hotjar.com TP/1.1 200 OK
Date: Fri, 18 Dec 2020 19:22:46 GMT
Server: Apache
Content-Length: 16
Content-Type: text/html; charset=UTF-8
Connection: keep-alive


fonts.gstatic.com 172.217.169.99
www.gstatic.com 216.58.212.3
lh3.googleusercontent.com 216.58.214.129
apis.google.com 216.58.214.142
www.googleadservices.com 216.58.206.194
twittervideodownloader.com 165.227.112.236
www.savetweetvid.com 104.24.125.114
cdnjs.cloudflare.com 104.16.18.94
s7.addthis.com 104.85.12.110
pagead2.googlesyndication.com 172.217.17.194
app.raychat.io 185.173.105.157
googleads.g.doubleclick.net 172.217.17.194
partner.googleadservices.com 172.217.17.194
adservice.google.com 172.217.17.194
www.googletagservices.com 172.217.17.194
cdn.jsdelivr.net 104.16.85.20
cdn.fontcdn.ir 78.47.155.197
tpc.googlesyndication.com 216.58.214.129
www.dropbox.com 162.125.69.18
s0.2mdn.net 142.250.184.134
googleads4.g.doubleclick.net 216.58.206.194
se3.raychat.io 185.173.105.157
www.youtube.com 216.58.206.206
i.ytimg.com 216.58.206.214
yt3.ggpht.com 172.217.169.129
r1---sn-hju7en7r.googlevideo.com 74.125.167.87
